,var
AC005019.3,0.05003129500961427
AC005020.1,0.0011069225586710493
AC005024.1,0.0010808604481154836
AC005027.3,0.0003995723409471874
AC005033.6,0.0015598564401439368
AC005034.2,0.0019341354152373135
AC005037.1,0.0033821919458387273
AC005037.3,0.21473786488379493
AC005037.6,0.04692137011136395
AC005040.3,0.00045116161776291575
AC005041.11,0.0031627178212881345
AC005042.1,0.0
AC005042.2,0.049282313739973084
AC005042.3,0.025915403442381833
AC005042.4,0.5038360807805364
AC005042.5,0.021679599555012752
AC005048.1,0.0
AC005052.1,0.005010927627582158
AC005062.2,1.0424961791314602
AC005071.1,0.05124973449467313
AC005071.2,0.0
AC005071.3,0.03271102338510349
AC005071.4,0.01931350869088983
AC005076.5,0.42111512395648415
AC005077.14,1.0316456495338482
AC005077.5,0.004620958459984138
AC005077.7,0.012026382333902524
AC005077.8,0.016188487798043858
AC005077.9,0.005192321993845917
AC005082.1,0.0
AC005082.12,0.6852002611999557
AC005083.1,1.7399433974255019
AC005086.1,0.06094332136137623
AC005086.2,0.018882492658394468
AC005086.3,0.0015761337021132844
AC005088.1,0.0
AC005094.2,0.000429650157346631
AC005102.1,0.02708187780113456
AC005104.3,0.4355763726127739
AC005105.2,0.004049878438094389
AC005150.1,0.14690320091944656
AC005150.2,0.0
AC005150.3,0.0010808604481154836
AC005152.3,0.534993720035453
AC005154.6,0.8883689745181993
AC005154.7,0.3158842576386933
AC005154.8,0.27682791308423715
AC005158.1,0.0
AC005159.1,0.00034291425954760676
AC005160.3,0.00015090618174153672
AC005162.4,0.0019699672753091136
AC005162.5,0.03905956716624214
AC005176.1,0.0014481141504528992
AC005176.2,0.014139665787508216
AC005176.3,3.1858054702560616e-05
AC005178.1,0.0008061502034424611
AC005187.1,0.0
AC005189.6,0.026276252474389666
AC005197.2,0.07961975874613686
AC005204.1,0.0
AC005215.1,0.002938397767859922
AC005220.3,0.08013533668851716
AC005224.2,0.06778452726420775
AC005227.1,0.0
AC005229.1,0.08975035910747801
AC005229.5,0.005067481534616602
AC005229.7,0.002216964093099843
AC005235.1,0.02604427753556305
AC005237.2,0.018456433968124363
AC005237.4,0.08946533363717436
AC005251.3,0.29971672746222155
AC005253.2,0.3312808447432017
AC005253.4,0.02287721101390078
AC005255.3,1.4091585374613136
AC005255.5,0.0018502084936096739
AC005255.6,0.0004479168788231778
AC005256.1,0.22429596032819218
AC005262.2,0.04168523472825492
AC005262.3,0.12277353792140074
AC005262.4,0.009830358857470441
AC005264.2,0.2693341855604117
AC005276.1,0.010120841942843132
AC005281.1,0.09534416328189023
AC005281.2,0.1161591937790621
AC005284.1,0.0029124261527936693
AC005284.2,0.0
AC005288.1,0.0
AC005300.5,0.04941326139645366
AC005301.8,0.047925038621706766
AC005304.1,0.006347454095918778
AC005306.3,0.6036219525840893
AC005307.1,0.05444239036902723
AC005307.3,0.15054979982097186
AC005324.6,0.015597830948117133
AC005324.7,0.0005508144742572368
AC005329.7,0.5023919365497631
AC005330.2,0.3838532931273587
AC005336.4,1.0525555124667922
AC005336.5,0.28329393802542074
AC005339.1,0.44623111802004917
AC005339.2,1.9861796702237968
AC005351.1,0.0029327837127111093
AC005355.1,0.019667898949487814
AC005355.2,0.8249966350596997
AC005355.3,0.04028815859109064
AC005357.1,0.005547653180128323
AC005358.3,0.0025191229581549533
AC005363.11,0.22024088495745672
AC005363.9,0.7043060723275851
AC005371.1,5.913982278810172e-05
AC005375.1,0.0
AC005387.2,0.040461324900826025
AC005387.3,0.05567867387666874
AC005391.2,0.008891139787876427
AC005392.13,0.001578903040130634
AC005394.1,0.007714230117609341
AC005412.1,0.002857700487096143
AC005477.1,0.011629383060853267
AC005480.1,0.04421409424427493
AC005481.5,0.052889218251658876
AC005487.2,0.02258459654149081
AC005488.11,0.15134989487245598
AC005498.1,0.3091107733811199
AC005498.3,0.49692312187837795
AC005498.4,0.05494778811920611
AC005510.3,5.937548000795209e-05
AC005513.1,0.0011069225586710493
AC005514.2,0.08331439984454606
AC005517.3,0.4110705701158556
AC005518.2,0.005213524337750486
AC005519.4,0.5131004856149826
AC005522.6,0.003819826140587828
AC005522.7,0.057893157294266286
AC005523.2,0.49848461108460373
AC005523.3,0.09296091894167306
AC005532.5,0.23863546678829914
AC005534.6,0.12309019110035999
AC005534.8,0.055947133166908795
AC005537.2,0.5731339992038006
AC005538.1,0.007871584104168286
AC005538.3,0.7371109610994213
AC005538.5,0.008515924500781431
AC005539.2,0.002011236588058335
AC005540.1,0.0078375818380328
AC005540.3,0.23603853278402695
AC005546.2,0.08056010267835863
AC005549.1,0.0
AC005549.2,0.00033023173736739864
AC005550.3,0.18804417231586915
AC005550.5,0.0036067368855615817
AC005559.3,0.0013467014903936231
AC005562.1,0.5552975622560993
AC005562.2,0.002580579634015086
AC005578.3,0.018004820614875055
AC005588.2,0.032686936077265
AC005592.1,0.061946302347161974
AC005592.2,0.29072769302594453
AC005592.3,0.028253632235068122
AC005593.2,0.039534448064930595
AC005597.1,0.004478797187453635
AC005599.1,0.008353520278751459
AC005606.14,0.5797346892900049
AC005606.15,0.8598611149343616
AC005609.16,0.06255470703343079
AC005609.17,0.061399469858404165
AC005609.18,0.1958881490393451
AC005609.19,0.024478463936155395
AC005609.2,0.000270807707089369
AC005609.20,0.20677066782241899
AC005614.3,0.0014965776152911948
AC005614.5,0.02943358496142751
AC005616.1,0.0021503514202910715
AC005616.2,0.006999181136253975
AC005618.6,0.34546480171708516
AC005618.8,0.6271861974960335
AC005618.9,0.028933950344498374
AC005621.1,0.0
AC005624.2,0.08229108275020117
AC005625.1,0.016813534306001732
AC005626.3,0.0009936367416739054
AC005631.1,0.0002584754354346429
AC005668.1,0.0
AC005682.5,0.8625011743604962
AC005682.6,0.09478523478204763
AC005682.7,0.03523444264148838
AC005686.1,0.0005254701150958996
AC005701.1,0.0
AC005702.1,0.04993395189448548
AC005702.2,0.049584518069185554
